fol., re, fav, sentiment, text, time
163, 133, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:41:52
55, 7, 0, positive, RT @PandaofBinance: #Bitcoin $BTC still within this ascending triangle - and price resting on high volume support   IF we DO manage to brea…, 2018-06-09 21:41:49
823, 346, 0, positive, RT @reachcoin: REACH AIRDROP 🔥 just 2k people. Claim 100.000 Reach tokens right now Simply follow the 3 steps:  1. Follow REACH.   2. Like…, 2018-06-09 21:41:47
1775, 0, 0, positive, @CryptoGuru7 @MannyTheManniac @Crypto_Strong @360_trader @CrYp7RoN_KnYghT @Bitcoin_Gallery @Brad2pointO… https://t.co/PQsPRexIQJ, 2018-06-09 21:41:46
7814, 0, 0, positive, https://t.co/tGfZXbjGFN's New Look to Entice: Purges Bitpay; Coinbase; Blockchain References - https://t.co/LTFFcLduRZ, 2018-06-09 21:41:45
143, 2619, 0, neutral, RT @NeyrosNetwork: @NeyrosNetwork 99;999;999;999 NEYROS  Airdrops starts !!! fill the form : https://t.co/MHxx8D5wY1  #Airdrop #freetoken #…, 2018-06-09 21:41:44
3169, 746, 0, neutral, RT @KoniosOfficial: Thank you all for your support! Together we will accomplish our goals! https://t.co/RdMF7SJr2i #thankyou #ico #tokensal…, 2018-06-09 21:41:44
1405, 0, 0, positive, VEIAG is a global organization. the main project is focusin on development and implementation of value based busine… https://t.co/7oafzCzYyY, 2018-06-09 21:41:41
4811, 0, 0, positive, @evoskuil @MrHodl @VinnyLingham @real_vijay Sure; there are trade-offs.  But gold is coming up from the ground a lot faster than Bitcoin., 2018-06-09 21:41:40
932, 0, 0, neutral, Singapore Mall Sells Bitcoin Mining Hardware Station https://t.co/KszkngGhL8, 2018-06-09 21:41:40
2345, 67, 0, positive, RT @maxkeiser: All banks everywhere will get hit like this. Central Banks are printing trillions more fiat - and failing - to paper over th…, 2018-06-09 21:41:40
15811, 0, 0, neutral, Singapore Mall Sells Bitcoin Mining Hardware Station https://t.co/RQoVONxd6a, 2018-06-09 21:41:39
1245, 0, 0, positive, https://t.co/qgHxkjUOEA’s New Look to Entice: Purges Bitpay; Coinbase; Blockchain References - #Bitcoin #BTC… https://t.co/NGQBnv4RUQ, 2018-06-09 21:41:39
25116, 0, 0, neutral, Singapore Mall Sells Bitcoin Mining Hardware Station https://t.co/LpZ36DlHHE, 2018-06-09 21:41:38
57986, 0, 0, positive, New #Trump book: https://t.co/76ymBLjuHv Mask Off (Clean) by Future! Listen: https://t.co/2A0ogfNMYj  Love #THC:… https://t.co/V9qofpiyYf, 2018-06-09 21:41:36
610, 1, 0, positive, RT @RandolphMlny: #Bitcoin #Satoshi #cryptocurrency #blockchain #Airdrop New Airdrop #Locktrip 📢  LockTrip $500;000 Airdrop Already listed…, 2018-06-09 21:41:36
708, 72, 0, neutral, RT @RpiCoin: We have almost reached 600 members on Telegram! If you are not a member yet; you should join us here: https://t.co/bNoqEtX7Qt…, 2018-06-09 21:41:36
5667, 0, 0, positive, @zeqaxazefytu @MichaelSuppo BITCOIN MAGIC AUTOMATED  40 MILLION AIRDROP ;10K BTCM FOR THE FIRST 2000 PEOPLE.  CONDI… https://t.co/1qewIEhZzF, 2018-06-09 21:41:36
47, 133, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:41:33
5695, 2184, 0, neutral, RT @Peurtoken: Enabling https://t.co/oXIXJbYU9R community power :  Trade between members of the Peur community (collector's editions; used…, 2018-06-09 21:41:31
11934, 31, 0, positive, RT @AliantPayment: Millennials love cryptocurrencies; and #Bitcoin; #Ethereum and #Litecoin are their favorites! https://t.co/THbyCk8Ebh ht…, 2018-06-09 21:41:30
1404, 0, 0, positive, https://t.co/GikZS7trQP - Matter: Bitcoin Cash Blockchain Decentralized Blogging &amp; Social Media Platform https://t.co/MLzPhQBTpn, 2018-06-09 21:41:30
932, 0, 0, positive, Bank of Japan: No Big Problems With Bitcoin So Far https://t.co/tnEsPD3fhh, 2018-06-09 21:41:30
15811, 0, 0, positive, Bank of Japan: No Big Problems With Bitcoin So Far https://t.co/WtH9ysRKPF, 2018-06-09 21:41:29
1256, 134, 0, positive, RT @aantonop: Many people will be lured into this space through cliches like "blockchain not Bitcoin." Others will be drawn by the price. B…, 2018-06-09 21:41:28
1245, 0, 0, negative, A secretive Chicago trading firm is planning to move bitcoin trading out of chatrooms and into the 21st century -… https://t.co/POhTN1o46x, 2018-06-09 21:41:28
25116, 0, 0, positive, Bank of Japan: No Big Problems With Bitcoin So Far https://t.co/yEW4zm7tW8, 2018-06-09 21:41:27
3685, 0, 0, neutral, Bitcoin Is Still In A Stalemate... - Cryptocurrency/BTC Trading Analysis: https://t.co/hIyp8lJpK5 via @YouTube, 2018-06-09 21:41:27
3332, 236, 0, neutral, RT @qurrex: Check out #Qurrex web-based trading platform. https://t.co/MyHf3qLnLo  #TokenSale #bitcoin #crypto #blockchain #exchange #ICO #…, 2018-06-09 21:41:26
622, 8, 0, negative, RT @MyShield_TM: #Crypto investors are on alert over issues that cyber criminals could hack exchanges and empty users’ wallets.  #MyShield…, 2018-06-09 21:41:25
2, 0, 0, neutral, @SharpeyyPvP @Apexay @itsjhalt @MineHQ @CheatBreaker Uve been ratted w/ the bitcoin, 2018-06-09 21:41:24
9, 1095, 0, positive, RT @ArminVanBitcoin: Annual Economic Costs:  Banking: $1;870B Gold Mining: $105B Banking ( Electricity ): $63.8B Gold Recycling: $40B Paper…, 2018-06-09 21:41:23
118, 141, 0, positive, RT @SubstratumNet: Don’t forget you have until June 11th to enter. You can enter multiple times as well.   #giveaway #free #contest #win #r…, 2018-06-09 21:41:23
1037, 2621, 0, neutral, RT @NeyrosNetwork: @NeyrosNetwork 99;999;999;999 NEYROS  Airdrops starts !!! fill the form : https://t.co/MHxx8D5wY1  #Airdrop #freetoken #…, 2018-06-09 21:41:23
145, 2691, 0, positive, RT @SuretyToken: The surety airdrop is here receive up to $400 in surety tokens.  Sign up and complete the airdrop procedure to receive you…, 2018-06-09 21:41:22
380, 1482, 0, positive, RT @XrtFoundation: 🎉Official Announcement 🎉👏👏  Our Presale is LIVE !!! Only 150 Million #XRT alloted for Pre-sale. #buy Now and #GET 50% BO…, 2018-06-09 21:41:21
1254, 0, 0, neutral, CFTC Demands Trading Data From Bitcoin Exchanges In Price Manipulation Probe https://t.co/gvXFfyc7wg via… https://t.co/Lwj1dcVjHO, 2018-06-09 21:41:20
1677, 337, 0, positive, RT @VTOSFOUNDATION: $700 Million Bitcoin Mining Farm Coming to Upstate New York  via: @CryptoCoinsNews   https://t.co/hxcaYamHAA, 2018-06-09 21:41:19
